:cityname (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statefips (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statename (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statecity (?:"?(?<current>.*?)"?),(?<remains>.*) string
:type (?:"?(?<current>.*?)"?),(?<remains>.*) string
:is_capital (?:"?(?<current>[nNyYfFtT])"?),(?<remains>.*) string
:sdo_gtype (?<current>^[0-9]*),(?<remains>.*) int
:sdo_srid (?<current>^[0-9]*),(?<remains>.*) int
:sdo_element_info_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
:sdo_ordinate_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
!enddescription
!data
 117,"26360","Escanaba","26","Michigan","2626360","city","N",2001,8265,1,1,1,/-87.0808029226558,45.7462310952393,/
 118,"61000","Salmon Creek","53","Washington","5361000","census designated place","N",2001,8265,1,1,1,/-122.661003133108,45.713401774744,/
 119,"08950","Bozeman","30","Montana","3008950","city","N",2001,8265,1,1,1,/-111.042503369952,45.6769103842342,/
 120,"57150","Pendleton","41","Oregon","4157150","city","N",2001,8265,1,1,1,/-118.817298885379,45.6737899965104,/
 121,"51800","Orchards South","53","Washington","5351800","census designated place","N",2001,8265,1,1,1,/-122.538101195354,45.6558990659397,/
 122,"74060","Vancouver","53","Washington","5374060","city","N",2001,8265,1,1,1,/-122.643302907823,45.6342010324427,/
 123,"22675","Evergreen","53","Washington","5322675","census designated place","N",2001,8265,1,1,1,/-122.527297983108,45.627288824641,/
 124,"13425","City of the Dalles","41","Oregon","4113425","city","N",2001,8265,1,1,1,/-121.175003052816,45.5991592223243,/
 125,"56896","St. Cloud","27","Minnesota","2756896","city","N",2001,8265,1,1,1,/-94.1703567311027,45.5539512789371,/
 126,"59000","Portland","41","Oregon","4159000","city","N",2001,8265,1,1,1,/-122.656501783661,45.5382499797808,/
 127,"34100","Hillsboro","41","Oregon","4134100","city","N",2001,8265,1,1,1,/-122.939102178137,45.5276794456019,/
 128,"26200","Forest Grove","41","Oregon","4126200","city","N",2001,8265,1,1,1,/-123.104400631736,45.5222587469291,/
 129,"33000","Hazelwood","41","Oregon","4133000","census designated place","N",2001,8265,1,1,1,/-122.522697449296,45.5166015825096,/
 130,"31250","Gresham","41","Oregon","4131250","city","N",2001,8265,1,1,1,/-122.438201882619,45.5038490363193,/
 131,"59510","Powellhurst-Centennial","41","Oregon","4159510","census designated place","N",2001,8265,1,1,1,/-122.515098570334,45.4961090002116,/
 132,"01650","Aloha","41","Oregon","4101650","census designated place","N",2001,8265,1,1,1,/-122.871803295512,45.4920615998156,/
 133,"05350","Beaverton","41","Oregon","4105350","city","N",2001,8265,1,1,1,/-122.816596977848,45.4754982070616,/
 134,"00100","Aberdeen","46","South Dakota","4600100","city","N",2001,8265,1,1,1,/-98.4823989852977,45.4674987589129,/
 135,"48650","Milwaukie","41","Oregon","4148650","city","N",2001,8265,1,1,1,/-122.619796741571,45.444198624838,/
 136,"73650","Tigard","41","Oregon","4173650","city","N",2001,8265,1,1,1,/-122.773902908905,45.4249992269793,/
 137,"54325","Oatfield","41","Oregon","4154325","census designated place","N",2001,8265,1,1,1,/-122.596099870031,45.4136886417775,/
 138,"53900","Oak Grove","41","Oregon","4153900","census designated place","N",2001,8265,1,1,1,/-122.63770295499,45.4135017241711,/
 139,"40550","Lake Oswego","41","Oregon","4140550","city","N",2001,8265,1,1,1,/-122.698097249217,45.4122009203288,/
 140,"29000","Gladstone","41","Oregon","4129000","city","N",2001,8265,1,1,1,/-122.591499336219,45.3857994250159,/
 141,"74950","Tualatin","41","Oregon","4174950","city","N",2001,8265,1,1,1,/-122.771697994642,45.3763313259471,/
 142,"80150","West Linn","41","Oregon","4180150","city","N",2001,8265,1,1,1,/-122.638198832778,45.3685416976564,/
 143,"55200","Oregon City","41","Oregon","4155200","city","N",2001,8265,1,1,1,/-122.596801735954,45.3449096571059,/
 144,"18674","Elk River","27","Minnesota","2718674","city","N",2001,8265,1,1,1,/-93.5657730102608,45.3325882017572,/
 145,"40350","La Grande","41","Oregon","4140350","city","N",2001,8265,1,1,1,/-118.087303140019,45.3253402557572,/
 146,"52100","Newberg","41","Oregon","4152100","city","N",2001,8265,1,1,1,/-122.959800704528,45.3067283446923,/
 147,"53026","Ramsey","27","Minnesota","2753026","city","N",2001,8265,1,1,1,/-93.4476699750515,45.2634010284954,/
 148,"01486","Andover","27","Minnesota","2701486","city","N",2001,8265,1,1,1,/-93.3311233680455,45.2575302124951,/
 149,"45000","McMinnville","41","Oregon","4145000","city","N",2001,8265,1,1,1,/-123.190200789935,45.2112083388293,/
 150,"01720","Anoka","27","Minnesota","2701720","city","N",2001,8265,1,1,1,/-93.3900680378383,45.2103996250947,/
