'CF', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Additional impervious area contents ', '(in, mm)'
'CG', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Antecedent precipitation index ', '(in, mm)'
'CH', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Soil moisture index deficit ', '(in, mm)'
'CI', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Base flow storage contents ', '(in, mm)'
'CJ', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Base flow index ', '(in, mm)'
'CK', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'First quadrant index Antecedent Evaporation Index ', '(AEI) (in, mm)'
'CL', 'RZZ', 'I', NULL, 68,    67, 0, 6, 'First quadrant index Antecedent Temperature Index ', '(ATI) (DF, DC)'
'CM', 'RZZ', 'I', NULL, 68,    67, 0, 6, 'Frost index ', '(DF, DC)'
'CN', 'RZZ', 'I', NULL, 53,    53, 0, 6, 'Frost efficiency index ', '(%)'
'CO', 'RZZ', 'I', NULL, 54,    NULL, 0, 6, 'Indicator of first quadrant index ', '(AEI or ATI)'
'CP', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Storm total rainfall ', '(in, mm)'
'CQ', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Storm total runoff ', '(in, mm)'
'CR', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Storm antecedent index ', '(in, mm)'
'CS', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Current antecedent index ', '(in, mm)'
'CT', 'RZZ', 'I', NULL, 17,    17, 0, 6, 'Storm period counter ', '(integer)'
'CU', 'RZZ', 'I', NULL, 68,    67, 0, 6, 'Average air temperature ', '(DF, DC)'
'CV', 'RZZ', 'I', NULL, 68,    67, 0, 6, 'Current corrected synthetic temperature ', '(DF, DC)'
'CW', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Storm antecedent evaporation index, AEI ', '(in, mm)'
'CX', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Current AEI ', '(in, mm)'
